"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"melezitose","Melezitose","HMDB0011730","92817","C08243","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O","1"
"methanolphosphate","NA","NA","NA","NA","NA","0"
"methylmaleic acid","Citraconic acid","HMDB0000634","643798","C02226","C\C(=C\C(O)=O)C(O)=O","1"
"n-epsilon-trimethyllysine","NA","NA","NA","NA","NA","0"
"nicotinamide","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"octadecanol","Octadecanol","HMDB0002350","8221","D01924","CCCCCCCCCCCCCCCCCCO","1"
"oleic acid","Oleic acid","HMDB0000207","445639","C00712","CCCCCCCC\C=C/CCCCCCCC(O)=O","1"
"ononitol","D-4-O-Methyl-myo-inositol","HMDB0029915",NA,"C06353","CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"ornithine","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"panose","Panose","HMDB0029937","4120027","C00713","OCC1OC(OCC2OC(OC3C(O)C(O)C(O)OC3CO)C(O)C(O)C2O)C(O)C(O)C1O","1"
"parabanic acid","NA","NA","NA","NA","NA","0"
"phenol","Phenol","HMDB0000228","996","C00146","OC1=CC=CC=C1","1"
"phenylethylamine","Phenylethylamine","HMDB0012275","1001","C05332","NCCC1=CC=CC=C1","1"
"phosphate","Phosphate","HMDB0001429","1004","C00009","OP(O)(O)=O","1"
"phosphogluconic acid","6-Phosphogluconic acid","HMDB0001316","91493","C00345","O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"phosphoglycolic acid","Phosphoglycolic acid","HMDB0000816","529","C00988","OC(=O)COP(O)(O)=O","1"
"propylamine","1-Propylamine","HMDB0034006","7852",NA,"CCCN","1"
"raffinose","Raffinose","HMDB0003213","439242","C00492","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"ribitol","Ribitol","HMDB0000508",NA,"C00474","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"sorbitol","Sorbitol","HMDB0000247","5780","C00794","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"succinic acid","Succinic acid","HMDB0000254","1110","C00042","OC(=O)CCC(O)=O","1"
"taurine","Taurine","HMDB0000251","1123","C00245","NCCS(O)(=O)=O","1"
"tocopherol alpha","NA","NA","NA","NA","NA","0"
"tocopherol gamma","NA","NA","NA","NA","NA","0"
"urea","Urea","HMDB0000294","1176","C00086","NC(N)=O","1"
"uridine","Uridine","HMDB0000296","6029","C00299","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
