metabolite,VIP
phosphoglycolic acid,0.736191686988331
ethanol phosphate ,0.733381358810706
homocysteine ,0.722004213999773
N-methyl-UMP,0.712701529103722
cyanoalanine,0.703737698525198
phosphate,0.701887108690972
gluconic acid,0.700149549864299
dehydrocholesterol,0.697517494660532
glutaric acid,0.671958941961586
serine,0.658319516452428
2-aminobutyric acid,0.656108476241506
glyceric acid,0.652447635924187
alpha-aminoadipic acid,0.64880902265302
adenosine-5-monophosphate,0.648076083672232
parabanic acid ,0.647733387173386
maltotriitol,0.638486695407749
N-alpha-acetyllysine ,0.638091479873168
terephthalic acid,0.612257960495868
oleamide ,0.605419828675238
dopamine ,0.604920448019869
salicylic acid,0.59090156216973
putrescine,0.584161447354699
tyramine,0.580745327042605
serotonin,0.576537587254218
3-aminoisobutyric acid,0.57266710899245
ribonic acid,0.560249033546461
pantothenic acid,0.552539763143342
indole-3-butyric acid ,0.552450106873031
sulfuric acid,0.532445406724786
tyrosine,0.528947070727295
uracil,0.527975123352017
pipecolinic acid,0.508898905984944
malic acid,0.50470970720184
sucrose,0.489249968550262
isoheptadecanoic acid ,0.485515116307424
quinic acid,0.470915808532184
noradrenaline,0.456956119042781
cystine,0.455112494758803
leucine,0.416874751392902
isoleucine,0.401380790130499
valine,0.363866945347471
bisphosphoglycerol ,0.359375023121701
sarcosine,0.355176756113295
tryptophan ,0.351132229203006
beta-gentiobiose,0.33511832966676
nicotinic acid,0.31825926463877
5-methoxytryptamine,0.300056643647173
azelaic acid,0.280489039685347
threonine,0.251706286748252
phosphoethanolamine,0.239892991469806
adipic acid,0.205955646215714
glutamine,0.166360196488973
